Rating,Review
2,"this movie only gets a second star because i work downtown and liked seeing it destroyed. the effects were pretty good- i hear it was the most expensive Korean film ever made. being the most expensive and still absolutely horrid makes it a massive waste of money. i rented it so i won't complain too much about what i paid, but it was a couple hours that i'll never get back. plot holes abound. terrible acting all across the board. i do not recommend giving up the time to watch this movie, life is too short. if your friends want to watch this, run away. i can't stress enough how bad this film was.   where the hell did the second dragon come from? why didn't he show up sooner? how did they have rocket launchers on dinosaurs just 500 years ago?"
8,"As I watched this movie, and I began to see its' characters develop I could feel this would be an excellent picture. When you get that feeling, and the movie indeed fills those expectations the experience is rare. I had that very feeling throughout this movie. Robert DeNiro and Cuba Gooding Junior played riveting and amazingly strong parts which were both Oscar worthy. The supporting cast was equally as strong creating a winning foundation for the picture to grow on. I can say without any hesitation at all, see this movie it will not disappoint."
4,"this seemed an odd combination of Withnail and I with A Room with a View.. sometimes it worked, other times it did not. tragedy that they changed the name for the US release though.. Keep the Apidistra Flying is much better than the nothing title A Merry War. acting was okay, script was okay.. overall it was a mediocre film.."
9,"When I saw the Exterminators of year 3000 at first time, I had no expectations for that movie. Although, it wasn't so bad as I was thought. It's kind of Italian version of Roadwarrior, with cast, that is almost famous in Italy, including Venantino Venantini. Behind the story is Elisa Briganti and Dardano Sacchetti, who are also responsible for story of Zombie flesh-eaters. You can also see other links to Italian horror movies: Luca Venantini plays the role of Tommy, and you can see that kid in Paura nella citta dei morti viventi (City of the living dead AKA Gates of hell) as John Robbins and in Cannibal apocalypse as the role of Mary's brother. Quite entertaining movie, with some dull parts."
9,"This is a very entertaining flick, considering the budget and its length. The storyline is hardly ever touched on in the movie world so it also brought a sense of novelty. The acting was great (P'z to Dom) and the cinematography was also very well done. I recommend this movie for anyone who's into thrillers, it will not disappoint you!"
1,"""Trigger Man"" is definitely the most boring and silliest movie I've ever seen in my life. My aunt's holiday videos are more fascinating.  The actors seem to be recruited at uglypeople.com. They do not have any talent to act in a convincing manner.  They walk and walk and walk through the forest. There's more walking-around than in all three parts of ""The Lord of the Rings"" together. After the first hour, I began to read a Porsche brochure while watching ""Trigger Man"" along the way. Awful.  A total waste of time and money. I'd give that movie 0 stars out of 10, since this is not possible, I have to give 1 star."
10,If you havn't seen this movie I highly recommend you do.It's an excellent true story.I love Alison Lohman she is so talented side note: I also loved her in 7th heaven.The whole story line is amazing and the way they chose there characters waz awesome. The acting in this film is  very awesome.
9,"I went to see Fever Pitch with my Mom, and I can say that we both loved it. It wasn't the typical romantic comedy where someone is pining for the other, and blah blah blah... You weren't waiting for the climatic first kiss or for them to finally get together. It was more real, because you saw them through the relationship, rather than the whole movie be about them getting together. People could actually relate to the film, because it didn't seem like extraordinary circumstances, or impossible situations. It was really funny, and I think it was Jimmy Fallon's best performance. All in all... I would definitely recommend it!"
9,"First ever viewing: July 21, 2008  Very impressive screenplay and comedic acting and timing in this film. Now 40 years old, it has lost none of it's power. Neil Simon displays excellent insight into human nature and relationships as well as how to create genuine comedy from unusual situations. Jack Lemmon and Walter Matthau give great comedic performances. Neil Simon was inspired by actual events in his own life to write the play this film is based on.  One of the best written and acted Hollywood comedies of all time!  Surprisingly, only nominated for 2 Academy Awards: ""Best Adapted Screenplay"" and ""Best Film Editing"". Hollywood rarely awards comedies, no matter how well they are made."
7,"Weak, fast and multicolor,this is the Valvoline's movie in fact you can see always this brand of oil in a lot of scene. The real protagonist are the cars,weak performances of Cage and Duvall. A intresting Angelina Jolie is a unlikely mechanic. For the lovers of dream car(LAMBORGHINI and FERRARI over all)."
10,"i really in enjoyed watching this movie. like most of the people that watched it. i wasn't sure that i was getting. Whoopi Goldberg is a very funny comedian and she has done a lot of funny movies; i.e. sister act.  however this was not really comedy. it is a drama with comedic moments. so if your looking for a laugh riot then keep looking.  this movie is about a black family moving up from a nice neighborhood in the city to an upper middle class neighborhood. i would say more but it think it would spoil the movie. this movie does not just deal with race relations between whites and blacks, but also about relations with in the black community. i do think that it is worth a chance. if your not really interested in see another movie about race relations then this movie isn't for you"
9,"I loved this movie. I knew it would be chocked full of camp and silliness like the original series. I found it very heart warming to see Adam West, Burt Ward, Frank Gorshin, and Julie Newmar all back together once again. Anyone who loved the Batman series from the 60's should have enjoyed Return to the Batcave. You could tell the actors had a lot of fun making this film, especially Adam West. And I'll bet he would have gladly jumped back into his Batman costume had the script required him to do so. I told a number of friends about this movie who chose not to view it... now they wished they had. I have all of the original 120 episodes on VHS. Now this movie will join my collection. Thank You for the reunion Adam and Burt."
4,"This film came recommended as a good action film, which I don't really think it is. I found the story convoluted and not all that easy to follow. There really isn't that much action until the end of the film and it's pretty dark and hard to see what's really happening. I was sure hoping for something different, but, alas, didn't find it here."
4,"Jamie Foxx is fun but this movie has been done before. The bad guy plays a ""malkovichian"" character from ""In the Line of Fire"". The cops will do anything to find the bad guy - and of course the good guy has two sets of bad guys and one set of cops after him - all the while he is just trying to turn over a new leaf..."
2,"This movie is just plain bad. Weak story , weak directing and below average acting. The thing that really irritated me was the blatant advertising - constantly - for a well known internet provider. It is obvious some scenes are written to do just that , advertising. This movie is a slap in the face to anyone who payed money for this.  Do not watch this, it not worth your time."
1,"This is the worst show I have seen in years. I believe that it should be taken off of T.V. because of its retardedness. It is so dumb I could faint when I watch it. (even though I never watch it because it is SOOOOO poor)   Goofs: When mac says he can;t eat sugar, in another episode he eats sugar. Almost everything in the world has sugar in it!!! In episode ""Eddie Monster"" when eddy screams at Terrance he falls into the crate twice PLUS the seconed time he falls in he doesn't fall in, he falls off to the side. What stupidity. I can't even say the word Fosters Home. I even made a song with my band about how retarded this show is. Byyyyyyyyeeeee"
8,"I barely remember this show, a little ,but I remembered it was great! My eldest brother, reminded me about the show recently and I had seen an advertisement for the D.V.D set coming out. The network, again screwed up in pulling this from the air, so that they could put what else in it's place? It should have gone at least 3 seasons. Why not, right? I think sometimes that the network executives think they are the 'gods' of the entertainment world. But they mis-guess and flat out miss good show placement from time to time. Let it be said that, they have a lot more flops than 'hits'. This was one of the poor decisions to cut from the line-up. Anyhow, I am getting this for my collection."
10,"It is a great movie. i sow that some people think that this might not be based on a true story. No matter this !!, the movie is great, and all u can think is not why a balloon with a mermaid on it ends up flying in the mermaid town and so on, instead thinking that ""a little girl's wish came true"", and this means that all our peaceful dreams will come true if we trust in us, and do all in this world to make them true. The little girl (Desi - in the movie), and her mom, were the best actors i've been seen in a long time. Good for they, for all actors, all for the director. If someone can tell them this, please tell them, ""A 25 year guy from Romania says thank you for making this movie""."
7,"The premise is a bit better than the execution, but that doesn't mean the film is worth a look. Splendid supporting cast makes this a fun mystery to unravel. Raines is great as the resourceful woman determined to solve this puzzlement. I always enjoy Thomas Gomez."
3,"I've always thought that Cinderella II was the worst movie I've ever seen, (followed by Peter Pan 2, and some other sequels like The Lion King 2 and the Hunchback of Notre Dame 2). All these movies are made with the same idea; because the movie has no plot, they try to make up for that by filling it with jokes. I'm not saying the jokes are bad, but they make up most of the movie. The first time I saw the movie, I would have given it a 1/10. But now I think about it, most kids don't care how good the original movie was, they just care that the movie is entertaining. I still think the movie was a bad sequel, but that doesn't mean it's horrible. Now I think it deserves a 3/10."
2,"This very low budget comedy caper movie succeeds only in being low budget. Dialog is dumbfoundingly stupid, chase scenes are uniformly boring, and most of the on-screen money seems to have been saved for a series of crashes and explosions in a parking lot during the film's last five minutes (a briefly glimpsed port-a-potty early in that scene is certain to wrecked and spew crap on the film's chief villain--no prop is here without a purpose). The whole film is depressingly reminiscent of those that occasionally came out of Rodger Corman's studio when he'd give a first time director a few bucks and a camera--but without the discipline Corman would impose."
1,"This is the only movie that my wife and I have ever walked out on. Totally sucked. We saw it in Omaha even. Not funny at all, looks like a 14 year old kid wrote the humor. I can't believe these real politicians were actually in the movie. awful."
10,hi for all the people who have seen this wonderful movie im sure thet you would have liked it as much as i. i love the songs once you have seen the show you can sing along as though you are part of the show singing and dancing . dancing and singing. the song ONE is an all time fave musical song too and the strutters at the end with the mirror its so oh you have to watch this one
3,"1st watched 5/17/2002 - 3 out of 10(Dir-Ewald Andre Dupont): Fairly lame account of the Titanic disaster is the first filmed version of this much-heralded event. The replication of the disaster is not bad, but the drama around it is at some times silly, badly acted and way-too soap opera-like. The story is very much the same as the most recent Oscar-winning one except that we are shown how the crew tried to hide the actual disaster that was occurring until almost too late. Good for nostalgia purposes only and to get a feel for what James Cameron was competing against(barely) in his recreation."
7,"There's nothing really to dislike about ""The Odd Couple,"" and it's no surprise that Jack Lemmon and Walter Matthau make a hugely winning comedic team. But there's something so underdeveloped about Neil Simon's adaptation of his hit stage play as to make it seem more like a skit on a sketch comedy show than a full-bodied film. I have not seen the play, but have to assume that the screen version is fairly faithful, since Simon wrote it, so the defects cannot be blamed on a stage-to-screen adaptation. There are some interesting ideas in this story--two recently divorced men who fall immediately into traditional married roles when they become roommates because neither knows any differently--that Simon never fully fleshes out. Still, there are many worse ways to kill a couple of hours."
